"Time","Ventilation","Sokets plug","Lighting","Other electricity","Cooling","Heating"
2017-01-03 13:00:00,27.4,41.8,53.7,89.6,18.6,498
2017-01-03 14:00:00,21.6,37.5,50.9,64.6,61.9,500
2017-01-03 15:00:00,18.5,37.4,60.1,64.2,16.5,480
2017-01-03 16:00:00,29.7,38.0,52.6,43.2,19.8,390
2017-01-03 17:00:00,16.7,38.1,56.7,42.4,15.2,373
2017-01-03 18:00:00,22.8,34.3,59.5,63.1,19.8,357
2017-01-03 19:00:00,11.4,27.2,51.6,67.7,15.9,373
2017-01-03 20:00:00,13.6,20.4,39.5,70.6,19.9,356
2017-01-03 21:00:00,11,16.5,22.5,84.5,16.5,290
2017-01-03 22:00:00,8.06,13.9,11.7,18.8,92.1,202
2017-01-03 23:00:00,4.31,11.1,4.69,89.1,28,184
2017-01-04 00:00:00,10.4,9.09,5.97,78.3,28.2,201
2017-01-04 01:00:00,4.47,14.1,3.69,90.8,21.7,188
2017-01-04 02:00:00,4.53,10.3,3.81,85.9,24.0,189
2017-01-04 03:00:00,7.94,11.3,3.16,92.9,21.4,222
2017-01-04 04:00:00,8.88,10.7,4.69,79.3,23.2,305
2017-01-04 05:00:00,13.1,11.4,2.66,82.8,23.3,389
2017-01-04 06:00:00,12.2,13.0,5.69,86.5,21.4,479
2017-01-04 07:00:00,13.2,12.6,8,54.4,58.1,452
2017-01-04 08:00:00,386,17.6,15.3,0,25.9,534
2017-01-04 09:00:00,93.2,26,37.4,17.4,22.5,513
2017-01-04 10:00:00,18,32.8,57.8,84.1,22.8,497
2017-01-04 11:00:00,30.6,39.8,62,58.0,22.5,508
2017-01-04 12:00:00,30.6,41,57.8,67.7,21.2,443
2017-01-04 13:00:00,21.7,36.3,50.3,85.8,22.7,482
2017-01-04 14:00:00,66,32.8,45.8,56.8,22.5,432
2017-01-04 15:00:00,106,38.3,52.2,0,59.4,345
2017-01-04 16:00:00,32.2,38.5,49.2,29.7,24.9,324
2017-01-04 17:00:00,67.8,35.6,52.0,59.3,29.6,339
2017-01-04 18:00:00,18.1,30.2,53.5,110,20.5,306
2017-01-04 19:00:00,17.1,25.6,53.0,120,23.4,323
2017-01-04 20:00:00,16.5,20.9,37,128,25.2,373
2017-01-04 21:00:00,18.5,16.3,23.2,125,32.1,256
2017-01-04 22:00:00,8.66,13.2,13.5,126,29.3,202
2017-01-04 23:00:00,233,12.6,8.78,0,23.9,167
2017-01-05 00:00:00,458,11.9,4.03,13.3,27.5,117
2017-01-05 01:00:00,5.16,10.2,4.81,157,16.9,155
2017-01-05 02:00:00,5.84,13.9,4.84,155,15.9,171
2017-01-05 03:00:00,10,10.2,3.66,153,21.0,171
2017-01-05 04:00:00,13.2,10.6,4.19,159,17.4,305
2017-01-05 05:00:00,12,12.5,4.81,146,17.7,355
2017-01-05 06:00:00,11.8,10.3,4.50,160,16.7,463
2017-01-05 07:00:00,153,14.4,6,0,84.5,433
2017-01-05 08:00:00,20.3,15.4,16.3,125,22.7,520
2017-01-05 09:00:00,101,25.3,41.1,20.9,23.4,490
2017-01-05 10:00:00,108,37.3,59.4,131,33.4,463
2017-01-05 11:00:00,28.4,42.7,58.1,185,24.4,444
